Links,Name,Price,Location,Mileage,Transmission,Exterior Colour,Engine,Drivetrain,Fuel Type,Major Options
"ViewedSave this listing2017 Volkswagen Golf 1.8T Comfortline 4-Door FWD$15,990 ·$309/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $15,990 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.83,000 kmNew Westminster, BC (6 km)GREAT DEAL$5,211 below market(604) 332-0217Request Info","2017 Volkswagen Golf 1.8T Comfortline 4-Door FWD - $15,990","$15,990","New Westminster, BC
6 km away","83,000 kilometres",Automatic,White,,,,"Bluetooth, Backup Camera, Heated Seats, CarPlay"
"ViewedSave this listing2019 RAM 1500 Classic Tradesman Crew Cab 4WD$38,900 ·$751/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $38,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.26,000 kmNew Westminster, BC (6 km)GREAT DEAL$10,696 below market(604) 757-1549Request Info","2019 RAM 1500 Classic Tradesman Crew Cab 4WD - $38,900","$38,900","New Westminster, BC
6 km away","26,000 kilometres",Automatic,Blue,305 hp 3.6L V6 Flex Fuel Vehicle,Four-Wheel Drive,Flex Fuel Vehicle,"Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Heated Seats, Android Auto, CarPlay"
"ViewedSave this listing2015 Lexus NX 200t AWD$28,900 ·$558/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $28,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.49,000 kmPort Coquitlam, BC (16 km)GREAT DEAL$8,753 below market(604) 229-3828Request Info","2015 Lexus NX 200t AWD - $28,900","$28,900","Port Coquitlam, BC
16 km away","49,000 kilometres",Automatic,Silver,235 hp 2L I4,All-Wheel Drive,Gasoline,"Sport Package, Bluetooth, Backup Camera, Heated Seats, Alloy Wheels"
"ViewedSave this listing2003 Toyota Tacoma Prerunner V6 Crew Cab SB$11,980 ·$232/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $11,980 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.216,288 kmBurnaby, BC (5 km)GREAT DEAL$4,840 below market(604) 373-4630Request Info","2003 Toyota Tacoma Prerunner V6 Crew Cab SB - $11,980","$11,980","Burnaby, BC
5 km away","216,288 kilometres",Automatic,Red,190 hp 3.4L V6,Rear-Wheel Drive,Gasoline,Alloy Wheels
"ViewedSave this listing2015 INFINITI Q70 3.7 AWD$16,888 ·$326/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $16,888 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.144,718 kmVictoria, BC (91 km)GREAT DEAL$5,599 below market(778) 401-8153Request Info","2015 INFINITI Q70 3.7 AWD - $16,888","$16,888","Victoria, BC
91 km away","144,718 kilometres",7-Speed Automatic,Black,330 hp 3.7L V6,All-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Parking Sensors, Heated Seats"
"ViewedSave this listing2018 Mercedes-Benz Sprinter Cargo 2500 144 V6 Standard Roof RWD$38,995 ·$753/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $38,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.155,000 kmVancouver, BC (5 km)GREAT DEAL$11,901 below market(450) 954-2004Request InfoAuthorized Mercedes-Benz Dealer","2018 Mercedes-Benz Sprinter Cargo 2500 144 V6 Standard Roof RWD - $38,995","$38,995","Vancouver, BC
5 km away","155,000 kilometres",Automatic,,188 hp 3L V6 Diesel,4X2,Diesel,"Bluetooth, Backup Camera"
"ViewedSave this listing2018 BMW X5 sDrive35i RWD$42,485 ·$820/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $42,485 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.32,575 kmChilliwack, BC (74 km)GREAT DEAL$9,670 below market(604) 330-8687Request Info","2018 BMW X5 sDrive35i RWD - $42,485","$42,485","Chilliwack, BC
74 km away","32,575 kilometres",Automatic,Gray (Dark Graphite),300 hp 3L I6,Rear-Wheel Drive,Gasoline,"Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Heated Seats"
"ViewedSave this listing2019 GMC Sierra 1500 Limited SLE Double Cab 4WD$38,990 ·$752/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $38,990 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.26,000 kmNew Westminster, BC (6 km)GREAT DEAL$7,236 below market(604) 332-0217Request Info","2019 GMC Sierra 1500 Limited SLE Double Cab 4WD - $38,990","$38,990","New Westminster, BC
6 km away","26,000 kilometres",Automatic,Black,355 hp 5.3L V8,Four-Wheel Drive,Gasoline,"Bluetooth, Heated Seats, Backup Camera"
"ViewedSave this listing2020 RAM 3500 Big Horn Mega Cab 4WD$72,995 ·$1,408/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $72,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.3,800 kmMaple Ridge, BC (27 km)GREAT DEAL$12,839 below marketRequest Info","2020 RAM 3500 Big Horn Mega Cab 4WD - $72,995","$72,995","Maple Ridge, BC
27 km away","3,800 kilometres",8-Speed Automatic,Blue,370 hp 6.7L I6 Diesel,Four-Wheel Drive,Diesel,Backup Camera
"ViewedSave this listingNew Arrival2016 Ford Focus ST$17,888 ·$345/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% APR for 60 months, $17,888 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.75,000 kmRichmond, BC (6 km)GREAT DEAL$5,424 below market(778) 924-9088Request Info","2016 Ford Focus ST - $17,888","$17,888","Richmond, BC
6 km away","75,000 kilometres",Manual,White,252 hp 2L I4,Front-Wheel Drive,Gasoline,"Bluetooth, Leather Seats, Backup Camera, Heated Seats, Alloy Wheels"
